RSSI-Org;Robot X [m];Robot Y [m];Robot Z [m];Robot Rot Z [deg];Reading Number;Note;;phi;RSSI
-5790;1.7;0;0;90;1;Angular;;0;-57.9
-5800;1.7;0;0;90;1;Angular;;0;-58
-5781;1.7;0;0;90;1;Angular;;0;-57.81
-5800;1.7;0;0;90;1;Angular;;0;-58
-5790;1.7;0;0;90;1;Angular;;0;-57.9
-5809;1.7;0;0;90;1;Angular;;0;-58.09
-5781;1.7;0;0;90;1;Angular;;0;-57.81
-5781;1.7;0;0;95;1;Angular;;5;-57.81
-5772;1.7;0;0;95;1;Angular;;5;-57.72
-5790;1.7;0;0;95;1;Angular;;5;-57.9
-5790;1.7;0;0;95;1;Angular;;5;-57.9
-5762;1.7;0;0;95;1;Angular;;5;-57.62
-5781;1.7;0;0;95;1;Angular;;5;-57.81
-5781;1.7;0;0;95;1;Angular;;5;-57.81
-5837;1.7;0;0;100;1;Angular;;10;-58.37
-5828;1.7;0;0;100;1;Angular;;10;-58.28
-5837;1.7;0;0;100;1;Angular;;10;-58.37
-5856;1.7;0;0;100;1;Angular;;10;-58.56
-5866;1.7;0;0;100;1;Angular;;10;-58.66
-5847;1.7;0;0;100;1;Angular;;10;-58.47
-5837;1.7;0;0;100;1;Angular;;10;-58.37
-5786;1.7;0;0;105;1;Angular;;15;-57.86
-5795;1.7;0;0;105;1;Angular;;15;-57.95
-5786;1.7;0;0;105;1;Angular;;15;-57.86
-5795;1.7;0;0;105;1;Angular;;15;-57.95
-5795;1.7;0;0;105;1;Angular;;15;-57.95
-5795;1.7;0;0;105;1;Angular;;15;-57.95
-5805;1.7;0;0;105;1;Angular;;15;-58.05
-5866;1.7;0;0;110;1;Angular;;20;-58.66
-5866;1.7;0;0;110;1;Angular;;20;-58.66
-5866;1.7;0;0;110;1;Angular;;20;-58.66
-5866;1.7;0;0;110;1;Angular;;20;-58.66
-5875;1.7;0;0;110;1;Angular;;20;-58.75
-5856;1.7;0;0;110;1;Angular;;20;-58.56
-5875;1.7;0;0;110;1;Angular;;20;-58.75
-6007;1.7;0;0;115;1;Angular;;25;-60.07
-6035;1.7;0;0;115;1;Angular;;25;-60.35
-6007;1.7;0;0;115;1;Angular;;25;-60.07
-5997;1.7;0;0;115;1;Angular;;25;-59.97
-6016;1.7;0;0;115;1;Angular;;25;-60.16
-6016;1.7;0;0;115;1;Angular;;25;-60.16
-6035;1.7;0;0;120;1;Angular;;30;-60.35
-6054;1.7;0;0;120;1;Angular;;30;-60.54
-6063;1.7;0;0;120;1;Angular;;30;-60.63
-6054;1.7;0;0;120;1;Angular;;30;-60.54
-6063;1.7;0;0;120;1;Angular;;30;-60.63
-6054;1.7;0;0;120;1;Angular;;30;-60.54
-6054;1.7;0;0;120;1;Angular;;30;-60.54
-6124;1.7;0;0;125;1;Angular;;35;-61.24
-6115;1.7;0;0;125;1;Angular;;35;-61.15
-6115;1.7;0;0;125;1;Angular;;35;-61.15
-6134;1.7;0;0;125;1;Angular;;35;-61.34
-6134;1.7;0;0;125;1;Angular;;35;-61.34
-6134;1.7;0;0;125;1;Angular;;35;-61.34
-6124;1.7;0;0;125;1;Angular;;35;-61.24
-6317;1.7;0;0;130;1;Angular;;40;-63.17
-6270;1.7;0;0;130;1;Angular;;40;-62.7
-6298;1.7;0;0;130;1;Angular;;40;-62.98
-6298;1.7;0;0;130;1;Angular;;40;-62.98
-6289;1.7;0;0;130;1;Angular;;40;-62.89
-6317;1.7;0;0;130;1;Angular;;40;-63.17
-6289;1.7;0;0;130;1;Angular;;40;-62.89
-6354;1.7;0;0;135;1;Angular;;45;-63.54
-6364;1.7;0;0;135;1;Angular;;45;-63.64
-6392;1.7;0;0;135;1;Angular;;45;-63.92
-6383;1.7;0;0;135;1;Angular;;45;-63.83
-6383;1.7;0;0;135;1;Angular;;45;-63.83
