RSSI-Org;Robot X [m];Robot Y [m];Robot Z [m];Robot Rot Z [deg];Reading Number;Note;;phi;RSSI
-5931;1.7;0;0;90;1;Theta;;0;-59.31
-5931;1.7;0;0;90;1;Theta;;0;-59.31
-5922;1.7;0;0;90;1;Theta;;0;-59.22
-5922;1.7;0;0;90;1;Theta;;0;-59.22
-5931;1.7;0;0;90;1;Theta;;0;-59.31
-5931;1.7;0;0;90;1;Theta;;0;-59.31
-5922;1.7;0;0;95;1;Theta;;5;-59.22
-5950;1.7;0;0;95;1;Theta;;5;-59.5
-5931;1.7;0;0;95;1;Theta;;5;-59.31
-5931;1.7;0;0;95;1;Theta;;5;-59.31
-5931;1.7;0;0;95;1;Theta;;5;-59.31
-5960;1.7;0;0;95;1;Theta;;5;-59.6
-5950;1.7;0;0;95;1;Theta;;5;-59.5
-5913;1.7;0;0;100;1;Theta;;10;-59.13
-5931;1.7;0;0;100;1;Theta;;10;-59.31
-5941;1.7;0;0;100;1;Theta;;10;-59.41
-5931;1.7;0;0;100;1;Theta;;10;-59.31
-5913;1.7;0;0;100;1;Theta;;10;-59.13
-5922;1.7;0;0;100;1;Theta;;10;-59.22
-5931;1.7;0;0;100;1;Theta;;10;-59.31
-5927;1.7;0;0;105;1;Theta;;15;-59.27
-5927;1.7;0;0;105;1;Theta;;15;-59.27
-5936;1.7;0;0;105;1;Theta;;15;-59.36
-5927;1.7;0;0;105;1;Theta;;15;-59.27
-5927;1.7;0;0;105;1;Theta;;15;-59.27
-5936;1.7;0;0;105;1;Theta;;15;-59.36
-5988;1.7;0;0;110;1;Theta;;20;-59.88
-5997;1.7;0;0;110;1;Theta;;20;-59.97
-6007;1.7;0;0;110;1;Theta;;20;-60.07
-5988;1.7;0;0;110;1;Theta;;20;-59.88
-5997;1.7;0;0;110;1;Theta;;20;-59.97
-5988;1.7;0;0;110;1;Theta;;20;-59.88
-6007;1.7;0;0;110;1;Theta;;20;-60.07
-6072;1.7;0;0;115;1;Theta;;25;-60.72
-6072;1.7;0;0;115;1;Theta;;25;-60.72
-6072;1.7;0;0;115;1;Theta;;25;-60.72
-6063;1.7;0;0;115;1;Theta;;25;-60.63
-6054;1.7;0;0;115;1;Theta;;25;-60.54
-6063;1.7;0;0;115;1;Theta;;25;-60.63
-6119;1.7;0;0;120;1;Theta;;30;-61.19
-6110;1.7;0;0;120;1;Theta;;30;-61.1
-6138;1.7;0;0;120;1;Theta;;30;-61.38
-6110;1.7;0;0;120;1;Theta;;30;-61.1
-6119;1.7;0;0;120;1;Theta;;30;-61.19
-6138;1.7;0;0;120;1;Theta;;30;-61.38
-6110;1.7;0;0;120;1;Theta;;30;-61.1
-6185;1.7;0;0;125;1;Theta;;35;-61.85
-6204;1.7;0;0;125;1;Theta;;35;-62.04
-6213;1.7;0;0;125;1;Theta;;35;-62.13
-6195;1.7;0;0;125;1;Theta;;35;-61.95
