RSSI-Org;Robot Rot Z [deg];Reading Number;;;;;;phi;RSSI
-5800;100;1;;;;;;10;-58
-5828;100;1;;;;;;10;-58.28
-5800;100;1;;;;;;10;-58
-5809;100;1;;;;;;10;-58.09
-5819;100;1;;;;;;10;-58.19
-5819;100;1;;;;;;10;-58.19
-5800;100;1;;;;;;10;-58
-5946;110;1;;;;;;20;-59.46
-5936;110;1;;;;;;20;-59.36
-5927;110;1;;;;;;20;-59.27
-5946;110;1;;;;;;20;-59.46
-5946;110;1;;;;;;20;-59.46
-5946;110;1;;;;;;20;-59.46
-6138;120;1;;;;;;30;-61.38
-6138;120;1;;;;;;30;-61.38
-6138;120;1;;;;;;30;-61.38
-6148;120;1;;;;;;30;-61.48
-6148;120;1;;;;;;30;-61.48
-6138;120;1;;;;;;30;-61.38
-6138;120;1;;;;;;30;-61.38
-6383;130;1;;;;;;40;-63.83
-6392;130;1;;;;;;40;-63.92
-6401;130;1;;;;;;40;-64.01
-6392;130;1;;;;;;40;-63.92
-6401;130;1;;;;;;40;-64.01
-6392;130;1;;;;;;40;-63.92
-6383;130;1;;;;;;40;-63.83
-6777;140;1;;;;;;50;-67.77
-6796;140;1;;;;;;50;-67.96
-6787;140;1;;;;;;50;-67.87
-6749;140;1;;;;;;50;-67.49
-6834;140;1;;;;;;50;-68.34
-6824;140;1;;;;;;50;-68.24
-6806;140;1;;;;;;50;-68.06
-7205;150;1;;;;;;60;-72.05
-7158;150;1;;;;;;60;-71.58
-7130;150;1;;;;;;60;-71.3
-7092;150;1;;;;;;60;-70.92
-7149;150;1;;;;;;60;-71.49
-7139;150;1;;;;;;60;-71.39
-7863;160;1;;;;;;70;-78.63
-7873;160;1;;;;;;70;-78.73
-7844;160;1;;;;;;70;-78.44
-7882;160;1;;;;;;70;-78.82
-5819;80;1;;;;;;-10;-58.19
-5847;80;1;;;;;;-10;-58.47
-5847;80;1;;;;;;-10;-58.47
-5847;80;1;;;;;;-10;-58.47
-5837;80;1;;;;;;-10;-58.37
-5847;80;1;;;;;;-10;-58.47
-5866;80;1;;;;;;-10;-58.66
-5884;70;1;;;;;;-20;-58.84
-5931;70;1;;;;;;-20;-59.31
-5922;70;1;;;;;;-20;-59.22
-5922;70;1;;;;;;-20;-59.22
