RSSI-Org;alpha;Reading Number;;RSSI
-5795;0;1;;-57.95
-5786;0;1;;-57.86
-5795;0;1;;-57.95
-5805;0;1;;-58.05
-5786;0;1;;-57.86
-5795;0;1;;-57.95
-5786;0;1;;-57.86
-5805;10;1;;-58.05
-5805;10;1;;-58.05
-5823;10;1;;-58.23
-5805;10;1;;-58.05
-5795;10;1;;-57.95
-5805;10;1;;-58.05
-5795;10;1;;-57.95
-5781;20;1;;-57.81
-5772;20;1;;-57.72
-5790;20;1;;-57.9
-5781;20;1;;-57.81
-5790;20;1;;-57.9
-5800;20;1;;-58
-5800;20;1;;-58
-5753;30;1;;-57.53
-5762;30;1;;-57.62
-5772;30;1;;-57.72
-5743;30;1;;-57.43
-5753;30;1;;-57.53
-5753;30;1;;-57.53
-5776;40;1;;-57.76
-5767;40;1;;-57.67
-5776;40;1;;-57.76
-5758;40;1;;-57.58
-5776;40;1;;-57.76
-5767;40;1;;-57.67
-5776;40;1;;-57.76
-5852;50;1;;-58.52
-5842;50;1;;-58.42
-5870;50;1;;-58.7
-5889;50;1;;-58.89
-5833;50;1;;-58.33
-5852;50;1;;-58.52
-5861;50;1;;-58.61
-5899;60;1;;-58.99
-5870;60;1;;-58.7
-5917;60;1;;-59.17
-5889;60;1;;-58.89
-5899;60;1;;-58.99
-5889;60;1;;-58.89
-5889;60;1;;-58.89
-5884;70;1;;-58.84
-5875;70;1;;-58.75
-5875;70;1;;-58.75
-5875;70;1;;-58.75
-5894;70;1;;-58.94
-5866;70;1;;-58.66
-5884;70;1;;-58.84
-5870;80;1;;-58.7
-5889;80;1;;-58.89
-5899;80;1;;-58.99
-5889;80;1;;-58.89
-5899;80;1;;-58.99
-5889;80;1;;-58.89
-5899;80;1;;-58.99
-5955;90;1;;-59.55
-5964;90;1;;-59.64
-5946;90;1;;-59.46
-5955;90;1;;-59.55
-5946;90;1;;-59.46
-5946;90;1;;-59.46
-5884;100;1;;-58.84
-5894;100;1;;-58.94
-5884;100;1;;-58.84
-5875;100;1;;-58.75
-5894;100;1;;-58.94
-5894;100;1;;-58.94
-5894;110;1;;-58.94
-5913;110;1;;-59.13
-5894;110;1;;-58.94
-5884;110;1;;-58.84
-5894;110;1;;-58.94
-5903;110;1;;-59.03
-5884;110;1;;-58.84
-5899;120;1;;-58.99
-5908;120;1;;-59.08
-5899;120;1;;-58.99
-5899;120;1;;-58.99
-5899;120;1;;-58.99
-5889;120;1;;-58.89
-5889;120;1;;-58.89
-5847;130;1;;-58.47
-5847;130;1;;-58.47
-5856;130;1;;-58.56
-5856;130;1;;-58.56
-5847;130;1;;-58.47
-5847;130;1;;-58.47
-5856;130;1;;-58.56
-5866;140;1;;-58.66
-5875;140;1;;-58.75
-5866;140;1;;-58.66
-5866;140;1;;-58.66
-5884;140;1;;-58.84
-5894;140;1;;-58.94
-5884;140;1;;-58.84
-5776;150;1;;-57.76
-5776;150;1;;-57.76
-5786;150;1;;-57.86
-5795;150;1;;-57.95
-5786;150;1;;-57.86
-5795;150;1;;-57.95
-5795;150;1;;-57.95
-5762;160;1;;-57.62
-5753;160;1;;-57.53
-5753;160;1;;-57.53
-5772;160;1;;-57.72
-5762;160;1;;-57.62
-5762;160;1;;-57.62
-5781;160;1;;-57.81
-5767;170;1;;-57.67
-5776;170;1;;-57.76
-5776;170;1;;-57.76
-5776;170;1;;-57.76
-5786;170;1;;-57.86
-5776;170;1;;-57.76
-5776;170;1;;-57.76
-5706;180;1;;-57.06
-5706;180;1;;-57.06
-5696;180;1;;-56.96
-5706;180;1;;-57.06
-5706;180;1;;-57.06
-5706;180;1;;-57.06
-5739;-170;1;;-57.39
-5729;-170;1;;-57.29
-5739;-170;1;;-57.39
-5748;-170;1;;-57.48
-5758;-170;1;;-57.58
-5748;-170;1;;-57.48
-5739;-170;1;;-57.39
-5762;-160;1;;-57.62
-5753;-160;1;;-57.53
-5762;-160;1;;-57.62
-5762;-160;1;;-57.62
-5762;-160;1;;-57.62
-5753;-160;1;;-57.53
-5781;-160;1;;-57.81
-5711;-150;1;;-57.11
-5701;-150;1;;-57.01
-5701;-150;1;;-57.01
-5711;-150;1;;-57.11
-5711;-150;1;;-57.11
-5701;-150;1;;-57.01
-5720;-150;1;;-57.2
-5847;-140;1;;-58.47
-5866;-140;1;;-58.66
-5837;-140;1;;-58.37
-5837;-140;1;;-58.37
-5837;-140;1;;-58.37
-5866;-140;1;;-58.66
-5847;-140;1;;-58.47
-5856;-130;1;;-58.56
-5866;-130;1;;-58.66
-5884;-130;1;;-58.84
-5875;-130;1;;-58.75
-5884;-130;1;;-58.84
-5875;-130;1;;-58.75
-5823;-120;1;;-58.23
-5823;-120;1;;-58.23
-5814;-120;1;;-58.14
-5842;-120;1;;-58.42
-5823;-120;1;;-58.23
-5823;-120;1;;-58.23
-5884;-110;1;;-58.84
-5903;-110;1;;-59.03
-5866;-110;1;;-58.66
-5894;-110;1;;-58.94
-5894;-110;1;;-58.94
-5894;-110;1;;-58.94
-5875;-110;1;;-58.75
-5941;-100;1;;-59.41
-5931;-100;1;;-59.31
-5941;-100;1;;-59.41
-5950;-100;1;;-59.5
-5969;-100;1;;-59.69
-5969;-100;1;;-59.69
-5955;-90;1;;-59.55
-5936;-90;1;;-59.36
-5946;-90;1;;-59.46
-5946;-90;1;;-59.46
-5946;-90;1;;-59.46
-5946;-90;1;;-59.46
-5955;-90;1;;-59.55
-5960;-80;1;;-59.6
-5950;-80;1;;-59.5
-5978;-80;1;;-59.78
-5960;-80;1;;-59.6
-5978;-80;1;;-59.78
-5950;-80;1;;-59.5
-5969;-70;1;;-59.69
-5988;-70;1;;-59.88
-5978;-70;1;;-59.78
-5988;-70;1;;-59.88
-5978;-70;1;;-59.78
-5978;-70;1;;-59.78
-5978;-70;1;;-59.78
-5950;-60;1;;-59.5
-5931;-60;1;;-59.31
-5941;-60;1;;-59.41
-5931;-60;1;;-59.31
-5941;-60;1;;-59.41
-5922;-60;1;;-59.22
-5880;-50;1;;-58.8
-5880;-50;1;;-58.8
-5880;-50;1;;-58.8
-5899;-50;1;;-58.99
-5899;-50;1;;-58.99
-5899;-50;1;;-58.99
-5899;-50;1;;-58.99
-5894;-40;1;;-58.94
-5903;-40;1;;-59.03
-5903;-40;1;;-59.03
-5894;-40;1;;-58.94
-5913;-40;1;;-59.13
-5894;-40;1;;-58.94
-5894;-40;1;;-58.94
-5899;-30;1;;-58.99
-5870;-30;1;;-58.7
-5899;-30;1;;-58.99
-5880;-30;1;;-58.8
-5880;-30;1;;-58.8
-5880;-30;1;;-58.8
-5870;-20;1;;-58.7
-5880;-20;1;;-58.8
-5870;-20;1;;-58.7
-5880;-20;1;;-58.8
-5870;-20;1;;-58.7
-5899;-20;1;;-58.99
-5889;-20;1;;-58.89
-5828;-10;1;;-58.28
-5819;-10;1;;-58.19
