RSSI-Org;Robot X [m];Robot Y [m];Robot Z [m];Robot Rot Z [deg];Reading Number;;;phi;RSSI
-5565;1.2;0;0;90;1;;;0;-55.65
-5593;1.2;0;0;90;1;;;0;-55.93
-5584;1.2;0;0;90;1;;;0;-55.84
-5565;1.2;0;0;90;1;;;0;-55.65
-5574;1.2;0;0;90;1;;;0;-55.74
-5574;1.2;0;0;90;1;;;0;-55.74
-5551;1.2;0;0;95;1;;;5;-55.51
-5551;1.2;0;0;95;1;;;5;-55.51
-5570;1.2;0;0;95;1;;;5;-55.7
-5560;1.2;0;0;95;1;;;5;-55.6
-5551;1.2;0;0;95;1;;;5;-55.51
-5560;1.2;0;0;95;1;;;5;-55.6
-5579;1.2;0;0;95;1;;;5;-55.79
-5541;1.2;0;0;100;1;;;10;-55.41
-5541;1.2;0;0;100;1;;;10;-55.41
-5551;1.2;0;0;100;1;;;10;-55.51
-5532;1.2;0;0;100;1;;;10;-55.32
-5560;1.2;0;0;100;1;;;10;-55.6
-5551;1.2;0;0;100;1;;;10;-55.51
-5621;1.2;0;0;105;1;;;15;-56.21
-5602;1.2;0;0;105;1;;;15;-56.02
-5602;1.2;0;0;105;1;;;15;-56.02
-5612;1.2;0;0;105;1;;;15;-56.12
-5612;1.2;0;0;105;1;;;15;-56.12
-5602;1.2;0;0;105;1;;;15;-56.02
-5645;1.2;0;0;110;1;;;20;-56.45
-5664;1.2;0;0;110;1;;;20;-56.64
-5645;1.2;0;0;110;1;;;20;-56.45
-5635;1.2;0;0;110;1;;;20;-56.35
-5654;1.2;0;0;110;1;;;20;-56.54
-5654;1.2;0;0;110;1;;;20;-56.54
-5814;1.2;0;0;115;1;;;25;-58.14
-5805;1.2;0;0;115;1;;;25;-58.05
-5823;1.2;0;0;115;1;;;25;-58.23
-5823;1.2;0;0;115;1;;;25;-58.23
-5805;1.2;0;0;115;1;;;25;-58.05
-5823;1.2;0;0;115;1;;;25;-58.23
-5819;1.2;0;0;120;1;;;30;-58.19
-5847;1.2;0;0;120;1;;;30;-58.47
-5866;1.2;0;0;120;1;;;30;-58.66
